Word,Example
allowing measure,Allowing a measure of an ingredient to pile up above the rim of the measuring device naturally
amount ingredient,"Some volume-based recipes, attempt to improve the reproducibility by including additional instructions for measuring the correct amount of an ingredient."
baked,"Al forno literally meaning baked, is food that has been baked in an oven."
baked developed,"In Paris, the first open-air caf? of baked goods was developed."
baked products,"This is not primarily due to moisture being lost from the baked products, but more a reorganization of the way in which the water and starch are associated over time."
baking using,"Many commercial ovens are equipped with two heating elements: one for baking, using convection and thermal conduction to heat the food, and one for broiling or grilling, heating mainly by radiation."
based cuisines,"The cuisines of the Americas are found across North and South America, and are based on the cuisines of the countries from which the immigrant people came."
boiling water,Bain-marie is a method of cooking where a container of food is placed in or above boiling water in order to heat gradually or to keep warm.
chef,Chef is a person who cooks professionally for other people.
chef designate,Head chef is often used to designate someone with the same duties as an executive chef.
chocolate,"Chocolate is a preparation of roasted and ground cacao seeds that is made in the form of a liquid, paste, or in a block, which may also be used as a flavoring ingredient in other foods."
chocolate additionally,Milk chocolate is sweet chocolate that additionally contains milk powder or condensed milk.
chocolate called baking,"Pure, unsweetened chocolate, often called baking chocolate, contains primarily cocoa solids and cocoa butter in varying proportions."
chocolate combination cocoa,"Much of the chocolate consumed today is in the form of sweet chocolate, a combination of cocoa solids, cocoa butter or added vegetable oils, and sugar."
chocolate industry,"Despite the expanding reach of the chocolate industry internationally, cocoa farmers and labourers in the Ivory Coast are unaware of the uses of the beans."
chocolate producer,"Major chocolate producers, such as Nestl?, buy cocoa at commodities exchanges where Ivorian cocoa is mixed with other cocoa."
chocolate referred raw,"Raw chocolate, often referred to as raw cacao, is always dark and a minimum of 75% cacao."
cocoa,A higher amount of cocoa solids indicates more bitterness.
cocoa century,"Although cocoa originated in the Americas, West African countries, particularly C?te d'Ivoire and Ghana, are the leading producers of cocoa in the 21st century."
common ingredients,"Throughout the Middle East and Mediterranean, common ingredients include lamb, olive oil, lemons, peppers, and rice."
contains,"In comparison to most foods, cocoa contains more phenolic antioxidants."
cook,"A chef is a trained professional cook and tradesman who is proficient in all aspects of food preparation, often focusing on a particular cuisine."
cook require,"It refers to the setup required before cooking, and is often used in professional kitchens to refer to organizing and arranging the ingredients that a cook will require for the menu items that are expected to be prepared during a shift."
cooked due presence,"Raw cereal grains are hard to digest, while kidney beans are toxic when raw or improperly cooked due to the presence of phytohaemagglutinin."
cooked food,This makes it unsafe to reheat cooked food more than once.
cooked internal,Terrine made of foie gras are generally cooked to an internal temperature of 120 °F (59 °C).
cooked typically,"These can be added in order to immerse the substances being cooked, this is typically done with water, stock or wine."
cooking activities,Special precautions are required for camping in bear country because cooking activities and food storage attract these potentially dangerous animals.
cooking causes,"These techniques rely on the properties of starches to create simpler mucilaginous saccharides during cooking, which causes the familiar thickening of sauces."
cooking depend,The way that cooking takes place also depends on the skill and type of training of an individual cook.
cooking increases,Cooking increases the digestibility of many foods which are inedible or poisonous when raw.
cooking meat,"Several studies published since 1990 indicate that cooking meat at high temperature creates heterocyclic amines (HCAs), which are thought to increase cancer risk in humans."
cooking method,Liquids are so important to cooking that the name of the cooking method used is often based on how the liquid is combined with the food.
cooking people,Cooking is done both by people in their own dwellings and by professional cooks and chefs in restaurants and other food establishments.
cooking process,"Parboiling, partially or incompletely boiling a food, especially as the first step in a longer cooking process."
cooking resulting,"The browning of sugar, a process used extensively in cooking for the resulting nutty flavor and brown color."
cooking techniques,"Cooking techniques and ingredients vary widely across the world, reflecting unique environments, economics, cultural traditions, and trends."
cooking times,Baking and roasting otherwise involve the same range of cooking times and temperatures.
cooking traditions practices,"Regional cuisines can vary based on availability and usage of specific ingredients, local cooking traditions and practices, as well as overall cultural differences."
cooking vegetables oil,"The gentle heating of vegetables in a little oil or butter, which usually results in tender, sometimes translucent, pieces."
cooks united,"Today, most of the world prefers metric measurement by weight, though the preference for volume measurements continues among home cooks in the United States."
country oven,Feu de compagne in french means country oven.
cover,"A heavy cast iron pot, traditionally made with three short legs and a concave cover for holding hot coals on top."
cuisine,"A technique which involves coating pieces of raw meat or poultry in a mixture of cornstarch and liquid prior to cooking, frequently used in Chinese cuisine."
cuisine example,"Typical Assyrian cuisine, an example of a type of meal found in West Asia."
cuisine practiced,A global cuisine is a cuisine that is practiced around the world.
cuisine regions,Culinary culture exchange is also an important factor for cuisine in many regions.
cuisine specific,"Cuisine is specific set of cooking traditions and practices, often associated with a specific culture."
cuisines americas,"The cuisines of the Americas are found across North and South America, and are based on the cuisines of the countries from which the immigrant people came, primarily Europe."
cuisines created innovation,New cuisines are created by innovation and cultural interaction.
cuisines vary,"Regional cuisines can vary based on availability and usage of specific ingredients, local cooking traditions and practices, as well as overall cultural differences."
culinary culture,"Some factors that have an influence on a region's cuisine include the area's climate, the trade among different countries, religious or sumptuary laws and culinary culture exchange."
dry seed chickpeas,"Crops harvested solely for the dry seed, such as chickpeas and lentils as important as wheat or rice."
fair trade cocoa," One of the main tenets of fair trade is that farmers receive a fair price, but this does not mean that the larger amount of money paid for fair trade cocoa goes directly to the farmers."
fat,Chocolate with a higher fat content will melt at a lower temperature.
fats animal,"In northern Europe, wheat, rye, and fats of animal origin predominate, while in southern Europe olive oil is ubiquitous and rice is more prevalent."
fluid form chocolate,"Finally, the nibs are ground and liquefied, resulting in pure chocolate in fluid form: chocolate liquor."
food provided customers,"Bakeries were one of the earliest forms of cooking outside the home, and bakeries in the past often offered the cooking of pots of food provided by their customers as an additional service."
food sometimes served,"The cooked parcel of food is sometimes served unopened, allowing diners to discover the contents for themselves which adds an element of surprise."
heat oven,"The cooking container is half submerged in water in another, larger one, so that the heat in the oven is more gently applied during the baking process."
honey original,"It was still served as a beverage, but the Spanish added sugar, as well as honey, the original sweetener used by the Aztecs for chocolate."
hot chocolate,"Chocolate is also used in cold and hot beverages, such as chocolate milk and hot chocolate, and in some alcoholic drinks, such as creme de cacao."
ingredient,"Chocolate bars, either made of solid chocolate or other ingredients coated in chocolate, are eaten as snacks."
ingredients cuts,"It refers to the setup required before cooking, and is often used in professional kitchens to refer to organizing and arranging the ingredients, like cuts of meat, relishes, sauces, par-cooked items, spices, freshly chopped vegetables, and other components."
ingredients various types,There are basic blends of ingredients for the various types of chocolate.
involves preparing,"An entry-level cooking position within a restaurant, often involves preparing salads or other smaller plates which can be heated and quickly plated without significant experience."
levels fat,This is a list of cooking techniques commonly used in cooking and food preparation.
local cooking,"Regional cuisines can vary based on availability and usage of specific ingredients, local cooking traditions and practices, as well as overall cultural differences."
major chocolate,"Major chocolate producers, such as Nestl?, buy cocoa at commodities exchanges where Ivorian cocoa is mixed with other cocoa"
measures,For measures used in cookbooks published in other nations navigate to the appropriate regional section in Traditional measurement systems.
modern cooks,Some modern cooks apply advanced scientific techniques to food preparation to further enhance the flavor of the dish served.
natural fat,"He created a press to remove about half the natural fat, cocoa butter or cacao butter, from chocolate liquor."
northern europe wheat,"In northern Europe, wheat, rye, and fats of animal origin predominate, while in southern Europe olive oil is ubiquitous and rice is more prevalent."
organisms food,Most ingredients in cooking are derived from living organisms.
oven,"After the proper temperature is reached, the terrine is removed from the oven and placed into a cooling unit."
oven special occasions,"A H?ngi being prepared, a New Zealand M?ori method of cooking food for special occasions using hot rocks buried in a pit oven."
oven temperature,"Gas mark, a system of oven temperatures used in the UK."
pasta rice cooked,"In cooking, al dente describes pasta or rice that is cooked to be firm to the bite."
period chef,The training period for a chef is generally four years as an apprentice.
pots,"Dutch ovens were traditionally specially designed for camping, and such pots."
preparation,"Food preparation and storage must be located a safe distance from sleeping areas, so a fire near camp cannot be used for cooking."
prepared include pizza,"Italian dishes commonly prepared in this way include pizza, breads and pasta dishes, notably lasagna."
product found vegetables,"Sulforaphane, a glucosinolate breakdown product, which may be found in vegetables such as broccoli."
product sourced cocoa,"A food product that is sourced from cocoa beans and contains ""cocoa nibs, cocoa liquor, cocoa mass."
reducing,Production costs can be decreased by reducing cocoa solids content or by substituting cocoa butter with another fat.
salted dried,"The members of this guild produced a traditional range of cooked or salted and dried meats, which varied, sometimes distinctively, from region to region."
sterilizing effect cooking,"The sterilizing effect of cooking depends on temperature, cooking time, and technique used."
system cooks,"Regardless of the education received, most professional kitchens follow the apprenticeship system, and most new cooks will start at a lower-level 2nd or 1st cook position and work their way up."
unique humans,Preparing food with heat or fire is an activity unique to humans.
varieties cacao,"The three main varieties of cacao beans used in chocolate are criollo, forastero, and trinitario."
various types ovens,"Cooking techniques and ingredients vary widely across the world, from grilling food over an open fire to using electric stoves, to baking in various types of ovens."
world cuisines,"For example, foods preserved for winter consumption by smoking, curing, and pickling have remained significant in world cuisines for their altered gustatory properties."
